Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9
0.2094036,0.054065134,0,0,0.06120657,0,0.04886064,0.48399493,0.062429175,0.074480005
0,0,0.010843488,0.085591964,0.10087878,0,0,0,0.30464867,0.49253944
0.30919695,0,0,0.017701453,0.15991767,0,0,0.16578753,0.14225975,0.19669612
0.49130368,0,0,0,0,0,0.46424586,0,0,0
0.20649108,0,0,0,0,0,0,0.37935078,0.17694505,0.22980006
0.21929692,0,0,0,0.26307952,0,0,0,0.5033288,0
0.038280345,0,0,0.010065215,0.38737446,0.016608013,0.057855304,0.14070524,0,0.3463271
0,0,0,0,0.080092035,0.4758145,0.43604198,0,0,0
0.0660013,0,0.012864778,0.15581198,0,0,0,0.1069363,0.250349,0.40337068
0.022568174,0,0.037910625,0,0,0.031095838,0,0.48631907,0.04330154,0.3754177
0,0,0,0.17116122,0.25113514,0,0,0.047950223,0,0.5218545
0.1510278,0.24215437,0,0.02455791,0,0.10028564,0,0.0568796,0.42138815,0
0.13245636,0,0,0.08593313,0,0,0,0,0,0.7750055
0.15090555,0,0,0,0,0.030396126,0,0.0301857,0.6130871,0.17135243
0.040697064,0.014285093,0,0,0,0.11747771,0,0.65590745,0,0.16512863
0.09648777,0.05896616,0.016435342,0.06356593,0.025848258,0,0.055968586,0.3638298,0.11162944,0.20650616
0.09045475,0,0.017541915,0.07008362,0.1045219,0.072104454,0.061571606,0.26575425,0.019646807,0.29743895
0.2335181,0,0.032872815,0.04170774,0.25133052,0,0,0.10181553,0,0.33228102
0.114538476,0.013311173,0.07388469,0,0,0.010603228,0,0.013385729,0.45693827,0.3151937
0.28303614,0,0.02169885,0,0,0.04728199,0.16730861,0.1496357,0,0.3231477
0.1375368,0,0.026704801,0.23911493,0.11981612,0,0,0.26009226,0.14137037,0.07140244
0.1171414,0,0.17092517,0,0,0,0,0.29454,0.049334623,0.36047193
0.1316539,0.018605642,0,0.056264024,0,0,0,0.7560618,0,0.032978844
0.088402584,0,0,0.14245431,0.13036595,0.15915333,0.035236575,0.11482282,0,0.3266993
0.2696015,0,0,0,0,0,0,0,0.15430091,0.56380796
0,0,0,0,0.028712165,0,0,0.026140027,0.5119851,0.42564198
0.05903136,0,0.039557632,0.12421513,0,0.023801116,0,0.20159875,0.39015132,0.1587548
0,0,0.20094635,0,0.26894307,0,0,0.2063591,0.31949472,0
0,0,0,0.066974476,0.64176106,0,0,0.28081235,0,0
0.039327417,0,0,0,0,0.13536507,0,0,0.5518157,0.26348785
0,0,0.010151136,0,0.02391232,0,0,0.40199575,0.1656512,0.39411935
0,0,0.019264061,0.022362087,0.17925818,0,0.37858316,0.07643675,0.32009298,0
0,0,0,0.10823421,0,0,0,0,0,0.86372983
0,0,0,0,0.38299397,0,0,0,0.12381464,0.48046258
0.19130105,0.1069923,0,0,0.0723091,0,0,0.10256605,0.38725063,0.1375314
0.1636647,0,0.077539854,0.05400818,0.06853654,0,0.22297578,0.17523013,0,0.23686571
0,0,0,0,0.04870098,0,0.13385105,0,0.04642185,0.74944204
0,0,0,0,0.3351602,0,0,0.08079742,0.1313658,0.44067267
0,0,0,0.04251145,0,0,0,0.47274464,0.10690385,0.37051624
0.14371385,0,0,0,0,0,0,0.061736237,0.5613366,0.22016703
0.12578878,0,0,0.031011902,0.022148196,0.02476303,0.015748547,0.5870593,0,0.19009194
0.037829485,0,0,0,0.4731343,0,0.07937156,0.20591089,0.052825335,0.14782052
0.22896165,0,0.017773207,0,0,0,0,0,0.5755906,0.16799214
0.25437433,0,0,0,0,0,0,0.24396704,0.22961977,0.258826
0,0,0.013154961,0.06584514,0.11709901,0,0.1263864,0.39969754,0.14819098,0.12567554
0.031782568,0,0.014693994,0,0,0,0,0.32956567,0.40448645,0.21231495
0.3244701,0,0,0,0.10940331,0,0,0.2290882,0.13177395,0.201493
0.038914543,0,0.05705617,0.08401101,0.8098472,0,0,0,0,0
0.0891447,0,0,0.1381404,0,0,0,0.43917,0.056372818,0.27392104
0.122159004,0,0,0,0.14414784,0,0,0.17867838,0.37238973,0.17264736
0.21809089,0,0.20276529,0,0.2694935,0.0869363,0,0,0.19770843,0
0.13911535,0,0,0.027076103,0.02505413,0,0.012905215,0.573155,0.21460286,0
0,0,0,0,0,0,0,0.57062227,0,0.42263806
0,0,0,0.043389235,0.19125187,0.06535102,0,0.2394794,0.22452572,0.22973293
0.13307245,0,0,0.045870345,0.056884814,0,0,0.07914811,0,0.6693942
0,0,0,0,0.29089707,0,0,0,0.4078492,0.2977842
0.1489621,0,0.038643114,0.045474473,0.50274664,0,0,0.08582593,0.08160934,0.095188744
0.29031283,0,0.017938768,0,0.1144819,0,0.121637546,0.3474477,0,0.10573802
0.15794261,0,0,0.11308852,0,0,0,0.036667973,0.5733165,0.11354054
0.11804572,0,0,0,0,0.028503604,0,0.23718901,0.5737809,0.030253746
0.44979253,0,0,0,0.041777156,0.0408018,0.018942183,0.3305184,0,0.11318431
0.040148284,0,0,0,0.091295265,0,0.1117644,0.22991696,0.2635853,0.25381243
0.035067674,0.032196213,0.04001254,0.04016712,0.35524175,0,0,0,0.020504447,0.4707403
0.43396893,0.012405535,0,0.07428692,0,0,0,0,0.15032043,0.32338777
